Cook Islands to proceed with deep-sea mining,https://www.mining-technology.com/news/cook-islands-deep-sea-mining/,07-Jul-23
Ivanhoe Electric and Ma'aden formally establish Saudi exploration JV,https://www.mining-technology.com/news/ivanhoe-electric-maaden-saudi-jv/,07-Jul-23
Hudbay signs MoU with Marubeni for exploration partnership,https://www.mining-technology.com/news/hudbay-mou-marubeni-partnership/,07-Jul-23
Oils and coolants: high-performance products for mining's unique challenges,https://www.mining-technology.com/sponsored/oils-and-coolants-high-performance-products-for-minings-unique-challenges/,07-Jul-23
Hammer to acquire stakes in Element's Australian copper projects,https://www.mining-technology.com/news/hammer-stakes-elements-copper/,06-Jul-23
Outback powerpack: how battery storage could be the future of Western Australian mining,https://www.mining-technology.com/features/outback-powerpack-battery-storage-future-western-australian-mining/,06-Jul-23
Firetail to acquire majority stake in Valor's Peruvian copper assets,https://www.mining-technology.com/news/firetail-stake-valor-copper/,05-Jul-23
Metso to supply processing equipment for Zambian copper mine,https://www.mining-technology.com/news/metso-processing-zambian-copper/,05-Jul-23
Glencore offers to take sole control of PolyMet Mining,https://www.mining-technology.com/news/glencore-offer-control-polymet/,04-Jul-23
Volkswagen and Stellantis invest in ACG mining acquisition - report,https://www.mining-technology.com/news/volkswagen-stellantis-acg-mining-acquisition/,03-Jul-23
